Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
"D118,D130,D131,D78,D120,D125,D83,D137,D135,D121,D129,D111,D112,D76,D95,D104,D90,D94,D87,D100,D71,D107,D128,D70,D97,D72,D119,D84,D85,D74,D86,D88,D79,D134,D127,D80,D136,D133,D98,D122,D91,D101,D108,D89,D123,D92,D73,D132,D105,D96,D106,D103,D82,D110,D115,D93,D117,D77,D99,D116,D138,D124,D102,D113,D126,D109,D114,D81,D139,D75",SK6812MINI-E,70,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4960/14302512
"K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72",CPG151101S11,73,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4958/13997772
"RV1,RV2,RV3",PTA6043-2015CPB103,3,https://www.digikey.com/en/products/detail/bourns-inc/PTA6043-2015CPB103/3781230
"C40,C43,C21,C87,C56,C13,C78,C7,C3,C29,C15,C62,C74,C39,C65,C25,C49,C14,C55,C80,C60,C37,C30,C38,C45,C63,C85,C67,C31,C27,C58,C22,C82,C81,C9,C34,C11,C79,C41,C52,C36,C75,C48,C35,C16,C28,C73,C26,C57,C46,C44,C17,C84,C42,C20,C83,C69,C51,C59,C18,C86,C53,C76,C54,C6,C66,C61,C70,C47,C72,C19,C71,C32,C68,C77,C33,C64,C23,C24,C50",C0402C104M8RAC7867,80,https://www.digikey.com/en/products/detail/kemet/C0402C104M8RAC7867/2196243
"C1,C12,C2",CL21A106KOQNNNG,3,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417
"D69,D4,D12,D0,D55,D24,D37,D19,D34,D52,D32,D15,D61,D8,D62,D40,D57,D68,D63,D35,D7,D66,D36,D53,D42,D31,D17,D28,D38,D5,D45,D51,D60,D23,D50,D59,D21,D46,D54,D11,D47,D65,D22,D16,D14,D41,D49,D20,D56,D64,D9,D25,D48,D6,D43,D67,D13,D39,D44,D26,D33,D10,D58,D27,D2,D18,D1,D29,D3,D30",1N4148W,70,https://www.digikey.com/en/products/detail/diotec-semiconductor/1N4148W/12617566
U1,NCP1117LPST33T3G,1,https://www.digikey.com/en/products/detail/onsemi/NCP1117LPST33T3G/2194024
"C8,C10",C0402C105K9PAC7800,2,https://www.digikey.com/en/products/detail/kemet/C0402C105K9PAC7800/1090778
"R5,R1,R6",ERJ-PA2F1001X,3,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA2F1001X/5402650
"R4,R2",RCS04025K10JNED,2,https://www.digikey.com/en/products/detail/vishay-dale/RCS04025K10JNED/5868103
X1,USB4105-GF-A,1,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441
"RESET,USB_BOOT",KMR211NG LFS,2,https://www.digikey.com/en/products/detail/c-k/KMR211NG-LFS/2176482
U2,W25Q128JVSIM TR,1,https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIM-TR/6819722
Y1,ECS-120-10-36B2-CWY-TR,1,https://www.digikey.com/en/products/detail/ecs-inc/ECS-120-10-36B2-CWY-TR/14548848
"R8,R7",RCS040227R0FKED,2,https://www.digikey.com/en/products/detail/vishay-dale/RCS040227R0FKED/5867523
"C4,C5",GCM1555C1H270FA16J,2,https://www.digikey.com/en/products/detail/murata-electronics/GCM1555C1H270FA16J/11618592
U3,SC0914(13),1,https://www.digikey.com/en/products/detail/raspberry-pi/SC0914-13/14306010
R3,CR0402-JW-103GLF,1,https://www.digikey.com/en/products/detail/bourns-inc/CR0402-JW-103GLF/3740981
