Comment,Designator,Footprint,JLCPCB Part #
100n,"C40,C43,C21,C87,C56,C13,C78,C7,C3,C29,C15,C62,C74,C39,C65,C25,C49,C14,C55,C80,C60,C37,C30,C38,C45,C63,C85,C67,C31,C27,C58,C22,C82,C81,C9,C34,C11,C79,C41,C52,C36,C75,C48,C35,C16,C28,C73,C26,C57,C46,C44,C17,C84,C42,C20,C83,C69,C51,C59,C18,C86,C53,C76,C54,C6,C66,C61,C70,C47,C72,C19,C71,C32,C68,C77,C33,C64,C23,C24,C50",C_0402_1005Metric,
10u,"C1,C12,C2",C_0805_2012Metric,
1N4148W,"D69,D4,D12,D0,D55,D24,D37,D19,D34,D52,D32,D15,D61,D8,D62,D40,D57,D68,D63,D35,D7,D66,D36,D53,D42,D31,D17,D28,D38,D5,D45,D51,D60,D23,D50,D59,D21,D46,D54,D11,D47,D65,D22,D16,D14,D41,D49,D20,D56,D64,D9,D25,D48,D6,D43,D67,D13,D39,D44,D26,D33,D10,D58,D27,D2,D18,D1,D29,D3,D30",D_SOD-123F,
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,
1u,"C8,C10",C_0402_1005Metric,
1k,"R5,R1,R6",C_0402_1005Metric,
5.1k,"R4,R2",C_0402_1005Metric,
USB_C_Receptacle_HRO_TYPE-C-31-M-12,X1,USB4105-GF-A,
KMR2,"RESET,USB_BOOT",SW_Push_1P1T_NO_CK_KMR2,
W25Q128JVSIM,U2,SOIC-8_5.23x5.23mm_P1.27mm,
ECS-120-10-36B2-CWY-TR,Y1,ECS-120-10-36B2-CWY-TR,
27,"R8,R7",C_0402_1005Metric,
27p,"C4,C5",C_0402_1005Metric,
RP2040,U3,RP2040-QFN-56,
27 (DNF),R3,C_0402_1005Metric,
